country,elite,sw_f,englang,FLAG_incomplete,z_cs,female,mushyC,mushyR,univcode
USA,0,1,01,0,-0.164736375,0,,,119
USA,0,1,01,0,-0.021767221,0,,,204
USA,0,1,01,0,-0.736612976,0,,,160
USA,0,1,01,0,-0.307705522,1,,,167
USA,0,1,01,0,0.693078518,0,,,104
USA,0,1,01,0,0.407140225,1,,,62
USA,0,1,02,0,0.407140225,1,,,200
USA,0,1,02,0,-1.308489561,0,,,164
USA,0,1,01,0,-0.593643785,,,,160
USA,0,1,01,0,-0.164736375,0,,,206
USA,0,1,01,0,0.693078518,0,,,192
USA,0,1,01,0,0.836047649,0,,,58
USA,0,1,01,0,0.979016781,0,,,121
USA,0,1,01,0,3.552461386,0,,,102
USA,0,1,01,0,-1.022551298,0,,,184
USA,0,1,01,0,-0.307705522,0,,,52
USA,0,1,01,0,0.121201925,0,,,121
USA,0,1,01,0,-1.308489561,0,,,160
USA,0,1,01,0,0.407140225,0,,,34
USA,0,1,01,0,0.121201925,0,,,57
USA,1,1,01,0,2.837615728,0,,,161
USA,0,1,01,0,-0.164736375,0,,,216
USA,1,1,01,0,-0.593643785,0,,,226
USA,0,1,01,0,1.121985912,0,,,180
USA,0,1,01,0,-1.16552043,1,,,159
USA,0,1,01,0,-0.736612976,1,,,159
USA,1,1,01,0,0.693078518,1,,,226
USA,0,1,01,0,0.979016781,1,,,119
USA,0,1,01,0,-0.307705522,0,,,91
USA,0,1,00,0,0.121201925,0,,,218
USA,0,1,01,0,-1.308489561,1,,,159
USA,0,1,01,0,-0.450674653,1,,,159
USA,0,1,01,0,0.264171064,,,,74
USA,0,1,01,0,-0.593643785,0,,,39
USA,0,1,01,0,-1.16552043,0,,,54
USA,0,1,01,0,0.121201925,0,,,58
USA,1,1,01,0,0.979016781,0,,,161
USA,0,1,01,0,0.836047649,0,,,163
USA,0,1,00,0,0.121201925,0,,,60
USA,0,1,01,0,-0.164736375,,,,5
USA,0,1,01,0,-0.307705522,0,,,160
USA,0,1,01,0,1.97980082,0,,,54
USA,1,1,01,0,0.979016781,0,,,113
USA,0,1,01,0,-0.736612976,0,,,213
USA,0,1,01,0,0.407140225,1,,,159
USA,0,1,01,0,0.407140225,0,,,63
USA,1,1,01,0,0.979016781,1,,,113
USA,0,1,01,1,-1.308489561,1,,,158
USA,0,1,01,0,0.407140225,1,,,108
USA,1,1,02,0,2.837615728,0,,,68
USA,0,1,01,0,-0.450674653,0,,,78
USA,0,1,02,0,0.264171064,,,,102
USA,0,1,01,0,1.407924294,0,,,119
USA,0,1,01,0,-0.164736375,,,,212
USA,0,1,01,0,0.121201925,0,,,37
USA,0,1,01,0,-0.307705522,0,,,110
USA,0,1,01,0,0.407140225,0,,,93
USA,0,1,03,0,-0.450674653,0,,,37
USA,0,1,01,0,-0.593643785,0,,,158
USA,0,1,01,0,0.407140225,0,,,88
USA,0,1,01,0,-1.308489561,0,,,1
USA,0,1,01,0,-0.879582107,0,,,132
USA,1,1,00,0,1.121985912,,,,161
USA,0,1,01,0,0.121201925,0,,,131
USA,0,1,01,0,-1.022551298,0,,,205
USA,0,1,01,0,-0.307705522,0,,,158
USA,0,1,01,0,-0.879582107,0,,,158
USA,0,1,01,0,1.550893426,0,,,119
USA,0,1,01,0,-0.879582107,0,,,28
USA,0,1,01,0,-1.308489561,0,,,158
USA,0,1,01,0,-1.16552043,0,,,147
USA,0,1,01,0,-0.736612976,1,,,157
USA,0,1,02,0,-0.736612976,0,,,180
USA,0,1,01,0,-0.307705522,0,,,213
USA,0,1,01,0,0.264171064,0,,,204
USA,0,1,01,0,-0.593643785,0,,,198
USA,0,1,01,0,-0.593643785,0,,,156
USA,0,1,01,0,0.693078518,0,,,156
USA,0,1,01,0,-0.307705522,0,,,120
USA,0,1,01,0,0.693078518,0,,,156
USA,0,1,03,0,-1.022551298,0,,,86
USA,0,1,01,0,-1.022551298,0,,,79
USA,0,1,01,0,0.264171064,0,,,148
USA,0,1,01,0,-0.021767221,0,,,54
USA,0,1,01,1,-1.16552043,1,,,156
USA,0,1,01,0,-0.593643785,0,,,47
USA,0,1,01,0,0.979016781,0,,,119
USA,0,1,01,0,0.264171064,0,,,88
USA,0,1,01,0,1.121985912,0,,,19
USA,0,1,01,0,1.550893426,0,,,203
USA,0,1,01,0,0.407140225,0,,,117
USA,0,1,01,0,1.121985912,0,,,114
USA,0,1,01,0,1.121985912,0,,,227
USA,0,1,01,0,0.407140225,0,,,142
USA,0,1,01,0,0.264171064,0,,,155
USA,0,1,01,0,-0.593643785,0,,,155
USA,0,1,01,0,0.264171064,0,,,196
USA,0,1,01,0,-0.593643785,0,,,133
USA,0,1,03,0,-1.308489561,0,,,168
USA,0,1,01,0,-0.021767221,0,,,62
USA,0,1,01,0,-0.879582107,0,,,195
USA,0,1,01,0,-0.736612976,0,,,223
USA,0,1,01,0,1.550893426,0,,,192
USA,1,1,01,0,-0.164736375,0,,,161
USA,0,1,01,0,-0.593643785,0,,,227
USA,0,1,01,0,-0.736612976,0,,,88
USA,0,1,01,0,0.407140225,0,,,74
USA,0,1,01,0,-0.879582107,,,,132
USA,0,1,01,0,-0.593643785,0,,,110
USA,0,1,01,0,0.979016781,0,,,34
USA,0,1,02,0,-0.021767221,0,,,167
USA,0,1,01,0,1.550893426,1,,,169
USA,0,1,01,0,-0.307705522,0,,,212
USA,0,1,01,0,0.979016781,0,,,49
USA,0,1,01,0,-0.307705522,1,,,19
USA,0,1,01,0,0.264171064,0,,,211
USA,0,1,01,0,0.264171064,0,,,154
USA,0,1,01,0,1.121985912,0,,,228
USA,0,1,01,0,0.407140225,0,,,74
USA,0,1,01,0,-1.308489561,0,,,95
USA,0,1,01,0,-0.307705522,0,,,133
USA,0,1,01,0,-0.593643785,0,,,56
USA,0,1,01,0,-0.593643785,1,,,136
USA,0,1,01,0,-0.879582107,,,,25
USA,0,1,01,0,-0.307705522,0,,,8
USA,0,1,01,0,-0.307705522,0,,,20
USA,0,1,01,0,0.550109386,0,,,131
