country,elite,sw_f,englang,FLAG_incomplete,z_cs,female,mushyC,mushyR,univcode,SCORE-M,SCORE_MIN,SCORE_MAX,z_cs_new
USA,0,1,00,0,7.269659042,0,,,149,51,60,66,7.488719575
USA,0,1,01,0,7.269659042,0,,,11,51,60,66,7.488719575
USA,0,1,01,0,7.269659042,0,,,200,51,60,66,7.488719575
USA,1,1,01,0,6.411844254,1,,,13,45,54,60,6.588224253
USA,1,1,01,0,5.696998596,0,,,226,40,49,55,5.837811484
USA,1,1,01,0,5.696998596,0,,,161,40,49,55,5.837811484
USA,0,1,01,0,5.696998596,0,,,102,40,49,55,5.837811484
China,1,20.66666794,,0,5.696998596,0,0,,236,40,49,55,5.837811484
USA,0,1,01,0,5.12512207,0,,,119,36,45,51,5.237481269
China,1,20.66666794,,0,4.696214676,0,0,,236,33,42,48,4.787233608
USA,0,1,01,0,4.553245544,0,,,120,32,41,47,4.637151054
USA,1,1,01,0,4.553245544,0,,,226,32,41,47,4.637151054
USA,1,1,01,0,4.553245544,0,,,30,32,41,47,4.637151054
USA,0,1,01,0,4.553245544,0,,,47,32,41,47,4.637151054
USA,0,1,01,0,4.553245544,0,,,57,32,41,47,4.637151054
USA,0,1,01,0,4.553245544,0,,,196,32,41,47,4.637151054
USA,0,1,01,0,4.553245544,0,,,203,32,41,47,4.637151054
USA,0,1,01,0,4.553245544,0,,,173,32,41,47,4.637151054
USA,0,1,01,0,4.267307281,0,,,203,30,39,45,4.336985946
USA,0,1,01,0,4.267307281,0,,,49,30,39,45,4.336985946
USA,1,1,01,0,4.267307281,0,,,68,30,39,45,4.336985946
USA,0,1,01,0,4.267307281,1,,,175,30,39,45,4.336985946
USA,1,1,01,0,4.267307281,0,,,68,30,39,45,4.336985946
USA,0,1,01,0,4.267307281,0,,,57,30,39,45,4.336985946
USA,0,1,01,0,4.267307281,0,,,162,30,39,45,4.336985946
USA,1,1,01,0,4.267307281,0,,,85,30,39,45,4.336985946
USA,0,1,01,0,4.267307281,0,,,82,30,39,45,4.336985946
USA,0,1,01,0,4.267307281,0,,,225,30,39,45,4.336985946
USA,0,1,01,0,4.267307281,0,,,116,30,39,45,4.336985946
USA,0,1,01,0,3.838399649,0,,,109,27,36,42,3.886738035
USA,0,1,01,0,3.838399649,0,,,57,27,36,42,3.886738035
USA,0,1,01,0,3.838399649,0,,,119,27,36,42,3.886738035
USA,0,1,00,0,3.838399649,,,,119,27,36,42,3.886738035
USA,0,1,01,0,3.838399649,0,,,90,27,36,42,3.886738035
USA,0,1,01,0,3.838399649,0,,,173,27,36,42,3.886738035
USA,0,1,01,0,3.838399649,0,,,148,27,36,42,3.886738035
USA,0,1,01,0,3.838399649,0,,,155,27,36,42,3.886738035
USA,0,1,01,0,3.838399649,0,,,90,27,36,42,3.886738035
China,1,20.66666794,,0,3.838399649,0,0,,236,27,36,42,3.886738035
USA,0,1,01,0,3.552461386,0,,,102,25,34,40,3.586572927
USA,0,1,01,0,3.552461386,1,,,97,25,34,40,3.586572927
USA,0,1,01,0,3.552461386,0,,,90,25,34,40,3.586572927
USA,0,1,01,0,3.552461386,0,,,104,25,34,40,3.586572927
USA,0,1,01,0,3.552461386,0,,,86,25,34,40,3.586572927
USA,1,1,01,0,3.552461386,0,,,226,25,34,40,3.586572927
USA,1,1,01,0,3.552461386,0,,,113,25,34,40,3.586572927
USA,0,1,01,0,3.552461386,0,,,200,25,34,40,3.586572927
USA,0,1,03,0,3.552461386,0,,,63,25,34,40,3.586572927
USA,1,1,01,0,3.552461386,0,,,70,25,34,40,3.586572927
China,1,20.66666794,,0,3.552461386,0,0,,236,25,34,40,3.586572927
China,1,20.66666794,,0,3.552461386,0,0,,236,25,34,40,3.586572927
USA,0,1,01,0,3.409492254,0,,,80,24,33,39,3.436490374
USA,0,1,01,0,3.409492254,0,,,119,24,33,39,3.436490374
USA,0,1,01,0,3.409492254,0,,,117,24,33,39,3.436490374
USA,0,1,01,0,3.409492254,0,,,200,24,33,39,3.436490374
USA,1,1,01,0,3.409492254,0,,,226,24,33,39,3.436490374
USA,0,1,01,0,3.409492254,0,,,105,24,33,39,3.436490374
USA,0,1,01,0,3.409492254,0,,,82,24,33,39,3.436490374
USA,1,1,02,0,3.409492254,0,,,226,24,33,39,3.436490374
USA,0,1,01,0,3.409492254,0,,,62,24,33,39,3.436490374
USA,0,1,01,0,3.409492254,0,,,97,24,33,39,3.436490374
USA,0,1,01,0,3.409492254,0,,,119,24,33,39,3.436490374
USA,0,1,01,0,3.409492254,0,,,131,24,33,39,3.436490374
USA,0,1,01,0,3.409492254,0,,,98,24,33,39,3.436490374
USA,0,1,01,0,3.409492254,0,,,119,24,33,39,3.436490374
USA,1,1,01,0,3.409492254,0,,,139,24,33,39,3.436490374
USA,0,1,01,0,3.409492254,0,,,119,24,33,39,3.436490374
India,1,1,,0,3.409492254,0,,,277,24,33,39,3.436490374
Russia,1,48.14814377,,0,3.266523123,0,,0,305,23,32,38,3.28640782
China,1,20.66666794,,0,3.266523123,0,0,,236,23,32,38,3.28640782
China,1,20.66666794,,0,3.266523123,1,0,,236,23,32,38,3.28640782
USA,0,1,01,0,3.123553991,0,,,119,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,11,22,31,37,3.136325266
USA,1,1,01,0,3.123553991,0,,,226,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,142,22,31,37,3.136325266
USA,1,1,01,0,3.123553991,0,,,85,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,74,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,102,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,114,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,134,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,96,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,48,22,31,37,3.136325266
USA,1,1,01,0,3.123553991,0,,,226,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,145,22,31,37,3.136325266
USA,1,1,01,0,3.123553991,0,,,68,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,200,22,31,37,3.136325266
USA,1,1,01,0,3.123553991,0,,,226,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,57,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,11,22,31,37,3.136325266
USA,0,1,01,0,3.123553991,0,,,131,22,31,37,3.136325266
China,1,20.66666794,,0,3.123553991,1,0,,236,22,31,37,3.136325266
China,1,41.33333588,,0,3.123553991,0,0,,236,22,31,37,3.136325266
USA,1,1,01,0,2.837615728,0,,,161,20,29,35,2.836160159
USA,1,1,02,0,2.837615728,0,,,68,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,114,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,57,20,29,35,2.836160159
USA,1,1,01,0,2.837615728,0,,,226,20,29,35,2.836160159
USA,1,1,01,0,2.837615728,0,,,68,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,119,20,29,35,2.836160159
USA,1,1,01,0,2.837615728,0,,,68,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,90,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,116,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,47,20,29,35,2.836160159
USA,1,1,03,0,2.837615728,0,,,70,20,29,35,2.836160159
USA,1,1,01,0,2.837615728,0,,,226,20,29,35,2.836160159
USA,1,1,01,0,2.837615728,0,,,226,20,29,35,2.836160159
USA,1,1,01,0,2.837615728,1,,,68,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,198,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,20,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,119,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,48,20,29,35,2.836160159
USA,1,1,01,0,2.837615728,0,,,161,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,100,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,25,20,29,35,2.836160159
USA,1,1,01,0,2.837615728,0,,,226,20,29,35,2.836160159
USA,1,1,01,0,2.837615728,,,,85,20,29,35,2.836160159
USA,1,1,01,0,2.837615728,0,,,226,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,91,20,29,35,2.836160159
USA,1,1,01,0,2.837615728,0,,,226,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,119,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,192,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,25,20,29,35,2.836160159
USA,0,1,01,0,2.837615728,0,,,203,20,29,35,2.836160159
China,1,20.66666794,,0,2.837615728,0,0,,236,20,29,35,2.836160159
USA,1,1,01,0,2.694646597,0,,,226,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,119,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,119,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,1,,,119,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,34,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,20,19,28,34,2.686077605
USA,1,1,01,0,2.694646597,0,,,226,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,105,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,,,,20,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,98,19,28,34,2.686077605
USA,1,1,01,0,2.694646597,0,,,13,19,28,34,2.686077605
USA,1,1,01,0,2.694646597,0,,,226,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,55,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,57,19,28,34,2.686077605
USA,1,1,02,0,2.694646597,0,,,226,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,119,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,105,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,105,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,175,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,114,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,196,19,28,34,2.686077605
USA,0,1,01,0,2.694646597,0,,,28,19,28,34,2.686077605
Russia,1,48.14814377,,0,2.694646597,0,,0,305,19,28,34,2.686077605
India,1,1,,0,2.694646597,0,,,277,19,28,34,2.686077605
India,1,1,,0,2.694646597,0,,,277,19,28,34,2.686077605
China,1,41.33333588,,0,2.694646597,0,0,,236,19,28,34,2.686077605
USA,0,1,01,0,2.551677465,0,,,225,18,27,33,2.535995051
USA,0,1,02,0,2.551677465,0,,,25,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,62,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,119,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,119,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,25,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,200,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,53,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,120,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,121,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,98,18,27,33,2.535995051
USA,0,1,02,0,2.551677465,0,,,228,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,1,,,227,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,119,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,43,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,211,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,91,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,145,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,117,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,181,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,54,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,175,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,203,18,27,33,2.535995051
USA,1,1,01,0,2.551677465,0,,,113,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,155,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,87,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,196,18,27,33,2.535995051
USA,1,1,01,0,2.551677465,1,,,13,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,169,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,57,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,203,18,27,33,2.535995051
USA,0,1,01,0,2.551677465,0,,,102,18,27,33,2.535995051
India,1,1,,0,2.551677465,0,,,277,18,27,33,2.535995051
USA,0,1,01,0,2.408708334,0,,,148,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,,,,145,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,131,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,119,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,49,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,108,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,105,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,102,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,9,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,119,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,119,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,162,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,119,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,87,17,26,32,2.385912497
USA,1,1,01,0,2.408708334,0,,,226,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,203,17,26,32,2.385912497
USA,1,1,01,0,2.408708334,0,,,16,17,26,32,2.385912497
USA,0,1,02,0,2.408708334,0,,,131,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,1,,,27,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,196,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,142,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,119,17,26,32,2.385912497
USA,1,1,01,0,2.408708334,0,,,113,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,98,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,155,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,121,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,231,17,26,32,2.385912497
USA,1,1,01,0,2.408708334,0,,,226,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,11,17,26,32,2.385912497
USA,1,1,01,0,2.408708334,0,,,68,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,1,,,119,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,58,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,145,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,0,,,200,17,26,32,2.385912497
USA,1,1,01,0,2.408708334,0,,,226,17,26,32,2.385912497
USA,0,1,01,0,2.408708334,,,,132,17,26,32,2.385912497
USA,1,1,01,0,2.408708334,0,,,16,17,26,32,2.385912497
India,0,1,,0,2.265739202,0,,,280,16,25,31,2.235829944
China,1,41.33333588,,0,2.265739202,0,0,,236,16,25,31,2.235829944
China,1,41.33333588,,0,2.265739202,0,0,,236,16,25,31,2.235829944
USA,1,1,02,0,2.122770071,0,,,30,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,119,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,119,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,119,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,114,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,225,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,34,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,5,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,214,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,90,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,215,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,218,15,24,30,2.08574739
USA,1,1,01,0,2.122770071,0,,,226,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,195,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,33,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,218,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,223,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,,,,119,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,35,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,20,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,62,15,24,30,2.08574739
USA,1,1,01,0,2.122770071,0,,,68,15,24,30,2.08574739
USA,1,1,01,0,2.122770071,0,,,161,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,8,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,109,15,24,30,2.08574739
USA,1,1,01,0,2.122770071,0,,,70,15,24,30,2.08574739
USA,1,1,01,0,2.122770071,0,,,226,15,24,30,2.08574739
